Loading datasets...
Target Stats: Mean=6.7268, Std=2.3296

>>> Phase 0: Warm-up on Target...
-> Extracting Anchors from Target...
/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
-> Anchors Established: 6 prototypes.

=== PHASE 1: DETS Source Training ===
   [Weights] Min: 1.0000, Max: 1.0000, Mean: 1.0000
   [Weights] Min: 0.8864, Max: 1.0000, Mean: 0.9970
   [Weights] Min: 0.6973, Max: 1.0000, Mean: 0.9945
   [Weights] Min: 0.7678, Max: 1.0000, Mean: 0.9581
   [Weights] Min: 0.8958, Max: 1.0000, Mean: 0.9986
   [Weights] Min: 0.7004, Max: 1.0000, Mean: 0.9919
   [Weights] Min: 0.8694, Max: 1.0000, Mean: 0.9957
   [Weights] Min: 0.7707, Max: 1.0000, Mean: 0.9891
   [Weights] Min: 0.5395, Max: 1.0000, Mean: 0.9532
   [Weights] Min: 0.1074, Max: 1.0000, Mean: 0.9792
[P1] Ep 10 | Loss 2.0711 | Val MAE 1.7866 Acc 21.1%
   [Weights] Min: 0.3016, Max: 1.0000, Mean: 0.8716
   [Weights] Min: 0.3113, Max: 1.0000, Mean: 0.7188
   [Weights] Min: 0.3263, Max: 1.0000, Mean: 0.9749
   [Weights] Min: 0.2445, Max: 1.0000, Mean: 0.7886
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.9187
   [Weights] Min: 0.2976, Max: 1.0000, Mean: 0.8644
   [Weights] Min: 0.1070, Max: 1.0000, Mean: 0.9020
   [Weights] Min: 0.3971, Max: 1.0000, Mean: 0.9111
   [Weights] Min: 0.1058, Max: 1.0000, Mean: 0.7742
   [Weights] Min: 0.1729, Max: 1.0000, Mean: 0.6606
[P1] Ep 20 | Loss 1.7635 | Val MAE 1.9049 Acc 10.5%
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.7545
   [Weights] Min: 0.1146, Max: 1.0000, Mean: 0.7231
   [Weights] Min: 0.1292, Max: 1.0000, Mean: 0.7338
   [Weights] Min: 0.1744, Max: 1.0000, Mean: 0.6288
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.5513
   [Weights] Min: 0.1305, Max: 1.0000, Mean: 0.6923
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.5734
   [Weights] Min: 0.1190, Max: 1.0000, Mean: 0.5667
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.5392
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4454
[P1] Ep 30 | Loss 1.6436 | Val MAE 1.7273 Acc 21.1%
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4929
   [Weights] Min: 0.1091, Max: 1.0000, Mean: 0.4306
   [Weights] Min: 0.1069, Max: 1.0000, Mean: 0.4153
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4297
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4406
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4123
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4624
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4874
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4429
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4524
[P1] Ep 40 | Loss 1.5144 | Val MAE 1.7208 Acc 21.1%
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4019
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4352
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4522
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4233
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4372
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4339
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4481
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4433
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4469
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4395
[P1] Ep 50 | Loss 1.4737 | Val MAE 1.7714 Acc 21.1%
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4434
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4609
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3811
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4153
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3711
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3128
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3266
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.5181
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4290
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3133
[P1] Ep 60 | Loss 1.6575 | Val MAE 1.6951 Acc 36.8%
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3476
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3766
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3249
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3506
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3407
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3946
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4689
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4128
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3720
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3852
[P1] Ep 70 | Loss 1.5089 | Val MAE 1.9912 Acc 15.8%
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4542
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.4401
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.5004
   [Weights] Min: 0.1000, Max: 1.0000, Mean: 0.3980
